행정구역(구군)별(1),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,
행정구역(구군)별(1),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),,
합계,2842,2838,2864,2862,2860,2858,2850,2845,2842,2831,2818,2794,2769,2730,2704,2721,,
중구,11244,11080,11125,10967,10800,10901,11276,11577,11418,11297,11363,11087,10944,10696,11468,12739,,
동구,1824,1826,1860,1881,1886,1896,1919,1929,1938,1928,1939,1907,1887,1884,1874,1893,,
서구,13194,12987,12952,12846,12710,12445,12299,12032,11655,11216,10779,10255,9981,9617,9350,9612,,
남구,10100,9908,9866,9753,9726,9576,9431,9286,9034,8833,8710,8586,8505,8319,8231,8100,,
북구,4946,4861,4853,4827,4813,4770,4774,4761,4733,4743,4731,4713,4734,4699,4641,4526,,
수성구,5928,5986,6060,6049,6031,6048,5989,5927,5866,5758,5676,5623,5566,5471,5399,5345,,
달서구,9652,9704,9858,9856,9855,9923,9868,9808,9633,9409,9343,9293,9119,8895,8776,8645,,
달성군,406,418,425,430,440,440,444,463,524,583,601,615,620,627,627,627,,
