"구·군별",2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"구·군별",인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢)
"부산광역시",4695,4666,4692,4667,4643,4629,4621,4624,4607,4572,4538,4502,4465,4410,4372,4343
"중구",17960,17724,17927,17680,17458,17178,16982,16795,16649,16278,15849,15573,15412,15056,14809,13672
"서구",9423,9156,9155,8993,8793,8618,8579,8443,8220,8008,8056,7893,7883,7681,7699,7633
"동구",10634,10474,10517,10467,10268,10015,9868,9638,9426,9328,9152,9167,9235,9089,8977,8912
"영도구",10908,10601,10505,10254,10009,9727,9452,9276,9039,8833,8587,8354,8109,7919,7764,7687
"부산진구",13573,13409,13411,13385,13305,13202,13116,12939,12780,12622,12313,12169,12225,11995,12088,12218
"동래구",17037,16968,17056,17117,16825,16692,16646,16476,16473,16354,16100,16386,16354,16116,16503,16367
"남구",11370,11309,11278,11144,10991,11011,10822,10703,10558,10418,10671,10472,10184,9971,9778,9728
"북구",8123,8002,7950,7857,7980,7898,7831,7927,7929,7748,7609,7460,7272,7249,7136,7005
"해운대구",8297,8310,8346,8330,8386,8337,8305,8316,8258,8105,8055,7991,7899,7783,7601,7482
"사하구",9023,8882,8855,8621,8552,8467,8332,8211,8135,8071,7967,7803,7571,7426,7338,7251
"금정구",3969,3902,3954,3943,3959,3922,3874,3827,3814,3814,3795,3736,3624,3554,3458,3374
"강서구",312,356,368,384,387,412,469,554,632,678,709,744,786,812,817,815
"연제구",17693,17482,17670,17726,17577,17388,17284,17520,17208,17168,17260,17392,17366,17194,16901,17081
"수영구",17454,17474,17569,17419,17402,17253,17593,17767,17729,17799,17437,17424,17492,17301,17281,17269
"사상구",7343,7182,7257,7169,7048,6955,6854,6724,6598,6501,6346,6193,6015,5894,5777,5782
"기장군",377,414,476,502,532,614,672,712,737,751,766,765,809,821,828,831
