구·군별,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
구·군별,인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢)
종로구,7519,7426,7502,7421,7243,7022,6914,6851,6771,6869,6817,6769,6649,6431,6365,6292
중구,13936,13841,14177,14212,14136,13854,13677,13486,13494,13514,13618,13704,13517,13231,13131,13232
용산구,11480,11487,11759,11857,11674,11520,11428,11337,11209,11179,11209,11213,11188,10852,10668,10386
성동구,19151,18759,18808,18325,18214,18190,18028,18093,18218,18551,18771,18327,17822,17359,17136,16930
광진구,22698,22653,22786,22661,22520,22356,22117,21987,21807,21819,21746,21507,21105,20666,20586,20582
동대문구,26876,26356,26713,26653,26453,26490,26481,26301,26050,25748,25630,25537,25114,24762,24873,25315
중랑구,23399,23232,23371,23175,22904,22773,22892,22633,22474,22318,22067,21736,21603,21188,21092,20948
성북구,19597,19721,20260,20125,19968,19747,19366,19104,18781,18533,18218,18505,18190,17909,17983,17828
강북구,14644,14566,14823,14780,14684,14490,14341,14172,14015,13898,13683,13462,13202,12820,12614,12414
도봉구,18196,17988,17908,17774,17605,17418,17183,17056,16948,16752,16531,16245,15852,15465,15205,14987
노원구,17524,17360,17367,17160,16955,16763,16538,16317,16119,15748,15468,15162,14872,14530,14335,14191
은평구,15607,15855,16600,16782,17035,17107,16943,16920,16696,16534,16415,16308,16292,16061,15838,15849
서대문구,19356,19126,18965,18434,18444,18405,18225,18351,18506,18440,18331,18335,18322,17908,18129,18190
마포구,16472,16434,16771,16720,16511,16407,16607,16706,16394,16174,16199,16180,16011,15878,15745,15727
양천구,29183,29104,29028,29049,28769,28554,28196,28098,27681,27289,26894,26559,26301,25882,25509,25236
강서구,14086,13983,14013,13901,13851,13885,14282,14376,14531,14679,14567,14438,14140,13986,13862,13723
구로구,22282,22347,22497,22806,22589,22475,22721,22596,22347,21946,21793,21837,21496,20933,20794,20656
금천구,20396,20240,20349,20326,20055,19840,19818,19675,19560,19469,19510,19341,19035,18808,18649,18517
영등포구,18056,17983,18141,17892,17386,17187,17181,17033,16583,16377,16441,16334,16595,16331,16215,16203
동작구,25136,24954,25312,25296,25456,25773,25637,25240,25269,24978,25032,25003,24555,24113,23870,23826
관악구,18664,18510,18592,18478,18280,18097,17991,17891,17776,17617,17587,17496,17241,16891,16951,16838
서초구,8767,9172,9362,9340,9361,9501,9665,9601,9610,9480,9326,9261,9132,8858,8696,8774
강남구,14307,14405,14604,14501,14431,14409,14770,14728,14484,14203,13859,13929,13773,13616,13522,13932
송파구,19971,20347,20460,20382,20078,19925,19831,19704,19629,19813,19883,20156,19896,19599,19616,19483
강동구,19285,19920,20214,20359,20042,19846,19577,18842,18238,17909,17564,17909,18869,18970,18871,18841
