행정구역,2008년_계_0~4세,2009년_계_0~4세,2010년_계_0~4세,2011년_계_0~4세,2012년_계_0~4세,2013년_계_0~4세,2014년_계_0~4세,2015년_계_0~4세,2016년_계_0~4세,2017년_계_0~4세,2018년_계_0~4세,2019년_계_0~4세,2020년_계_0~4세,2021년_계_0~4세,2022년_계_0~4세,2023년_계_0~4세
인천광역시  (2800000000),"126,985","126,066","128,173","133,367","135,572","136,253","136,426","134,903","130,380","121,874","115,371","107,557","96,320","88,754","85,549","82,753"
인천광역시 중구 (2811000000),"4,286","4,177","4,377","4,429","4,731","5,390","5,776","5,810","5,391","5,019","4,901","5,460","5,133","4,900","5,183","5,040"
인천광역시 동구 (2814000000),"3,310","3,531","3,797","3,819","3,603","3,409","3,245","3,083","2,834","2,535","2,151","1,841","1,472","1,329","1,244","1,137"
인천광역시 미추홀구 (2817700000),"17,910","17,783","18,023","18,021","17,731","17,316","16,872","16,302","16,789","16,168","15,127","13,450","11,821","11,125","10,402","9,891"
인천광역시 연수구 (2818500000),"11,436","11,278","11,750","12,589","13,063","13,712","14,659","15,037","15,352","15,080","15,170","15,852","16,232","15,063","13,751","13,108"
인천광역시 남동구 (2820000000),"22,437","23,398","23,642","25,584","26,102","25,669","25,751","26,612","25,102","23,548","21,945","19,817","17,083","14,813","12,816","10,794"
인천광역시 부평구 (2823700000),"27,020","26,003","25,682","25,439","24,922","24,472","24,458","24,036","22,963","21,147","18,921","16,555","13,968","12,460","12,098","12,236"
인천광역시 계양구 (2824500000),"16,532","16,331","16,630","16,361","15,945","15,730","15,030","13,998","12,973","11,488","10,119","8,847","7,603","7,015","6,443","5,583"
인천광역시 서구 (2826000000),"21,432","20,980","21,722","24,538","27,003","28,230","28,375","27,805","26,793","24,786","25,083","23,841","21,127","20,279","21,887","23,323"
인천광역시 강화군 (2871000000),"1,915","1,849","1,819","1,780","1,719","1,656","1,613","1,588","1,573","1,479","1,406","1,416","1,440","1,381","1,350","1,316"
인천광역시 옹진군 (2872000000),707,736,731,807,753,669,647,632,610,624,548,478,441,389,375,325
